Track	Label	Coverage	Length
CTCF	0	228632650	308241040
CTCF	1	165057290	221486230
CTCF	2	1475360	185918770
CTCF	3	218997608	221286368
CTCF	4	291163684	387920414
CTCF	5	474844417	523892819
CTCF	6	308968047	447338357
CTCF	7	89463610	95973350
CTCF	8	161905150	378747260
CTCF	9	211288220	307780310
H3K27ac	0	308801830	356620380
H3K27ac	1	216116620	267984520
H3K27ac	2	15542465	16494405
H3K27ac	3	206427938	228711728
H3K27ac	4	320794474	359633254
H3K27ac	5	473244447	499727179
H3K27ac	6	465777553	528395173
H3K27ac	7	92062440	94511120
H3K27ac	8	340249579	384308249
H3K27ac	9	311780440	342198910
H3K27me3	0	244263890	343886580
H3K27me3	1	203127620	284081680
H3K27me3	2	15568215	15925725
H3K27me3	3	218545438	219464158
H3K27me3	4	76782430	245956710
H3K27me3	5	463901257	537421384
H3K27me3	6	311827695	456477675
H3K27me3	7	10026390	236918340
H3K27me3	8	261777359	382699066
H3K27me3	9	258560370	355753600
H3K4me1	0	141781602	346654730
H3K4me1	1	180792080	281935990
H3K4me1	2	15531197	15909010
H3K4me1	3	214789026	346792433
H3K4me1	4	291573910	374980370
H3K4me1	5	456115210	505074782
H3K4me1	6	387520304	496828000
H3K4me1	7	88828899	95028640
H3K4me1	8	286422394	393161350
H3K4me1	9	261009855	352920800
H3K4me3	0	287941040	343538950
H3K4me3	1	135919920	306114970
H3K4me3	2	15694815	16245665
H3K4me3	3	213860498	220848148
H3K4me3	4	289138744	344688314
H3K4me3	5	466569137	497854317
H3K4me3	6	457844975	528982215
H3K4me3	7	91578960	94906780
H3K4me3	8	309326229	369438259
H3K4me3	9	314975940	355967300
